# tools/english/manual_file.tsv — Umbenennung nur in EINER Datei.
# Noetig, wo der sonst richtige englische Name im selben Rumpf schon
# vergeben ist (Datei \t alter Name \t neuer Name).
lib/html/tokenize_main.fi	aus	outi
lib/html/tokenize_bench.fi	aus	outi
lib/browser/driver.fi	aus	outi
tests/414_module_error.fi	haupt	top
lib/firnc1/codegen.fi	prae	pfx
compiler/src/lower.rs	summe	sum_decl
lib/firnc1/parser.fi	voll	whole
lib/browser/tree.fi	neues	new_fe
tools/gc_mess/build.fi	laufen	running
tests/843_collections_interplay.fi	anza	cnt_out
tools/gc_mess/pause_big.fi	laufen	running
lib/firnc1/fir.fi	zu	cbrace
lib/firnc1/parser.fi	zu	closed
