# tools/englisch/hand_datei.tsv — Umbenennung nur in EINER Datei.
# Noetig, wo der sonst richtige englische Name im selben Rumpf schon
# vergeben ist (Datei \t alter Name \t neuer Name).
lib/html/tokenize_main.fi	aus	outi
lib/html/tokenize_bench.fi	aus	outi
lib/browser/treiber.fi	aus	outi
tests/414_modul_fehler.fi	haupt	top
lib/firnc1/codegen.fi	prae	pfx
compiler/src/lower.rs	summe	sum_decl
lib/firnc1/parser.fi	voll	whole
lib/browser/baum.fi	neues	new_fe
tools/gc_mess/aufbau.fi	laufen	running
tests/843_sammlungen_zusammenspiel.fi	anza	cnt_out
tools/gc_mess/pause_gross.fi	laufen	running
